Size,R,2T,4T,7T,15T,25T
0.0582,4E-05,2.66666666666667E-05,8.33333333333333E-05,0.000193333333333,0.001186666666667,0.00048
0.0679,0.0001025,8.33333333333333E-05,0.000233333333333,0.00055,0.003286666666667,0.001486666666667
0.0791,0.00023,0.000206666666667,0.00056,0.00129,0.00747,0.003916666666667
0.0921,0.0004925,0.000506666666667,0.00133,0.002953333333333,0.016293333333333,0.010076666666667
0.1073,0.0010625,0.00126,0.003183333333333,0.006796666666667,0.03507,0.025766666666667
0.125,0.00227,0.003146666666667,0.00757,0.015463333333333,0.073496666666667,0.063736666666667
0.1456,0.0046925,0.007626666666667,0.017426666666667,0.033986666666667,0.14677,0.147783333333333
0.1697,0.0092825,0.017673333333333,0.038236666666667,0.071203333333333,0.276536666666667,0.316793333333333
0.1977,0.01744,0.03868,0.079173333333333,0.141006666666667,0.48924,0.62452
0.2303,0.030635,0.078383333333333,0.152133333333333,0.260163333333333,0.80553,1.12185
0.2683,0.0485025,0.140403333333333,0.260513333333333,0.431086666666667,1.20253333333333,1.78288666666667
0.3125,0.0655725,0.207796666666667,0.374446666666667,0.607146666666667,1.56266,2.39066333333333
0.3641,0.07443,0.248943333333333,0.443956666666667,0.71529,1.74870666666667,2.67099
0.4242,0.0759025,0.262803333333333,0.46937,0.758076666666667,1.78574,2.66151
0.4941,0.077,0.27747,0.49676,0.80514,1.81255,2.61445333333333
0.5757,0.077515,0.291603333333333,0.524796666666667,0.8556,1.83012,2.53266
0.6707,0.0726725,0.281206666666667,0.514983333333333,0.84706,1.75210333333333,2.28814666666667
0.7813,0.06913,0.27676,0.516926666666667,0.862096666666667,1.71244,2.11215
0.9103,0.06553,0.278343333333333,0.525276666666667,0.877103333333333,1.70337333333333,2.02369
1.0604,0.06335,0.286233333333333,0.54273,0.905896666666667,1.72690666666667,1.99401
1.2354,0.062865,0.30373,0.574116666666667,0.951823333333333,1.78987333333333,2.03578333333333
1.4393,0.065245,0.340626666666667,0.63483,1.03240333333333,1.91065666666667,2.16340333333333
1.6767,0.070625,0.398123333333333,0.723416666666667,1.14429,2.07206,2.32768666666667
1.9534,0.0801225,0.47114,0.83057,1.28525,2.26558333333333,2.49711666666667
2.2757,0.09655,0.560243333333333,0.97124,1.48171666666667,2.52083,2.70538666666667
2.6512,0.12141,0.680803333333333,1.18175666666667,1.76981666666667,2.8557,2.95215666666667
3.0887,0.15849,0.860543333333333,1.48952333333333,2.19076333333333,3.29822333333333,3.25809333333333
3.5983,0.211815,1.12504,1.95254666666667,2.77468,3.84066666666667,3.62235666666667
4.192,0.2827,1.5169,2.59167,3.53938666666667,4.44815,4.01086666666667
4.8837,0.3717575,2.04942666666667,3.41634666666667,4.44607333333333,5.04426,4.36235666666667
5.6895,0.475885,2.74018333333333,4.39288666666667,5.42385333333333,5.54844333333333,4.61705
6.6283,0.592225,3.56972666666667,5.44108333333333,6.35929,5.89581,4.74075
7.7219,0.7212425,4.51879666666667,6.47526333333333,7.16689,6.10447,4.77124333333333
8.996,0.86609,5.51796333333333,7.36114333333333,7.77707,6.02388333333333,4.47078
10.4804,1.03631,6.46301,7.97723,8.17920666666667,5.40619333333333,3.90638333333333
12.2096,1.252925,7.23905666666667,8.28470333333333,7.83609666666667,4.56901666666667,3.25101333333333
14.2242,1.5449025,7.74262,8.34244666666667,7.14954333333333,3.63564,2.59595
16.5712,1.94645,7.91509666666667,7.69592333333333,5.95225333333333,2.72996333333333,2.01864666666667
19.3055,2.4927875,7.79664333333333,6.5183,4.61041666666667,1.9542,1.57272333333333
22.4909,3.2053375,7.4966,5.16911,3.30481,1.36703,1.27687
26.2019,4.08847,6.53553,3.84138333333333,2.18694333333333,0.98769,1.12520333333333
30.5252,5.115445,5.45204,2.68676,1.34418333333333,0.7955,1.08862333333333
35.5618,6.2142075,4.36897666666667,1.78846666666667,0.791783333333334,0.738023333333333,1.1205
41.4295,7.2721275,3.37298666666667,1.16203333333333,0.487303333333333,0.747363333333334,1.16769666666667
48.2654,8.157915,2.51036666666667,0.76853,0.410006666666667,0.75863,1.18182333333333
56.2292,8.7890125,1.80161666666667,0.54216,0.360796666666667,0.72886,1.1344
65.507,9.197615,1.24151,0.413506666666667,0.358423333333333,0.645396666666667,1.01925333333333
76.3157,8.66073,0.81926,0.331996666666667,0.315183333333333,0.5267,0.854546666666667
88.9077,7.432615,0.524253333333333,0.274373333333333,0.262013333333333,0.409693333333333,0.675696666666667
103.5775,5.9108475,0.345376666666667,0.23844,0.217326666666667,0.32887,0.52144
120.6678,4.356845,0.26033,0.223736666666667,0.19026,0.295393333333333,0.413456666666667
140.578,2.959995,0.230453333333333,0.217943333333333,0.171986666666667,0.291613333333333,0.347133333333333
163.7733,1.839895,0.210673333333333,0.200256666666667,0.145686666666667,0.282886666666667,0.2981
190.7959,1.061495,0.17226,0.158186666666667,0.10454,0.2424,0.240596666666667
222.2773,0.61493,0.107073333333333,0.105543333333333,0.05932,0.163566666666667,0.169306666666667
258.953,0.42267,0.041886666666667,0.052896666666667,0.020506666666667,0.08474,0.098016666666667
301.68021,0.37824,0,0,0,0,0
351.45749,0.3762925,0,0,0,0,0
409.44791,0.3439725,0,0,0,0,0
477.00681,0.259975,0,0,0,0,0
555.71301,0.1351475,0,0,0,0,0
