2.029042002833273111e-03 2.175089426024840594e-02 4.409592135010883401e-02 8.528301550284167476e-02 2.389461103324939661e-01 5.286630746005687165e-01
3.274270403988969146e-03 6.216883558867768340e-03 9.156911927604973953e-03 1.448929961174658457e-02 3.431478011331058620e-02 7.192723177930125666e-02
4.647275140637607653e-03 9.745923647606149348e-03 1.406706677820926746e-02 2.166355387159279652e-02 4.928892547702345278e-02 1.008953367329838008e-01
6.304161701243304709e-03 1.579646638684834362e-02 2.236173823340086714e-02 3.334684307336058945e-02 7.174635495507022953e-02 1.412989211340971163e-01
8.600620259572352988e-03 2.681882702858621667e-02 3.714252043156309607e-02 5.337258986570706659e-02 1.071175851697442477e-01 2.002850886146362586e-01
1.162239999999999975e-02 4.536202037181200769e-02 6.153667779640962371e-02 8.533098011902248703e-02 1.592646061149467218e-01 2.806025457938742251e-01
1.520268007676117694e-02 7.334394412168206145e-02 9.782202279404743350e-02 1.316272530398089058e-01 2.298619146052278128e-01 3.814426531742602378e-01
1.899413108727962540e-02 1.107333695459916667e-01 1.456979106287095149e-01 1.913176261939534550e-01 3.154203407040895857e-01 4.948896996385900304e-01
2.256973566351344607e-02 1.517728450570464682e-01 1.973486017049764785e-01 2.539211904974911227e-01 3.985288887845913064e-01 5.945178543199809429e-01
2.508049310000116244e-02 1.879491482692813853e-01 2.419417684691501924e-01 3.060919519972229441e-01 4.608489076808220397e-01 6.577387137985737375e-01
2.511320294711658421e-02 2.081910750150894884e-01 2.658602478659969903e-01 3.317823675894166491e-01 4.825349599472975037e-01 6.630010981775624757e-01
2.148679679999999925e-02 2.041895253221240325e-01 2.593678757071227192e-01 3.203424836606026394e-01 4.531240860663765524e-01 6.031204224654995727e-01
1.542005711040097746e-02 1.781575674773437368e-01 2.256515382573966166e-01 2.766215868899708497e-01 3.828251333085091468e-01 4.964313441043792796e-01
9.943610126211803457e-03 1.385437188741922010e-01 1.750470777085761653e-01 2.132597915334071559e-01 2.898471076897813914e-01 3.678004056267875632e-01
6.383313342669073506e-03 9.681053695703022155e-02 1.219104237623609005e-01 1.476504157679160711e-01 1.975797598793224419e-01 2.462854462019027080e-01
4.062534508140770370e-03 6.113197593610308900e-02 7.671385333234463644e-02 9.244974212340692499e-02 1.222417845440604417e-01 1.504197413597115895e-01
2.408713693240902877e-03 3.481698659568158855e-02 4.359332882804967807e-02 5.238846855803937913e-02 6.885195761791824964e-02 8.423931772430097442e-02
